family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
clean,clean,clean,500,0.752,0.016017315231263637,0.0,full_cure_or_leave_clean_condition_out_prototype
control_cure_or,grayscale_no_challenge,control,499,0.7414829659318637,0.01568192694306314,0.01051703406813631,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_1,500,0.746,0.015914695471525193,0.006000000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_2,500,0.74,0.015813070729374885,0.01200000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_3,500,0.724,0.01569602870568633,0.028000000000000025,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_4,500,0.714,0.015522619131952525,0.038000000000000034,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_1,500,0.75,0.015842118157073856,0.0020000000000000018,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_2,500,0.74,0.01578445646353066,0.01200000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_3,500,0.736,0.015619091307744384,0.016000000000000014,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_4,500,0.722,0.01531031634658575,0.030000000000000027,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_5,500,0.676,0.014496878093108534,0.07599999999999996,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_1,500,0.746,0.015773811608552932,0.006000000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_2,500,0.606,0.014309350544586777,0.14600000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_3,500,0.488,0.013642925761640072,0.264,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_4,500,0.408,0.013250180330127478,0.34400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_5,500,0.354,0.012926912233233452,0.398,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_1,500,0.198,0.012766807714477182,0.554,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_2,500,0.032,0.012187401039525866,0.72,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_3,500,0.01,0.012299795333296061,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_4,500,0.01,0.012058903630822897,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_5,500,0.01,0.012021644692867994,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_1,500,0.746,0.015534576293081045,0.006000000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_2,500,0.714,0.015149419376626611,0.038000000000000034,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_3,500,0.688,0.014846050420776009,0.06400000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_4,500,0.65,0.014586491402238607,0.10199999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_5,500,0.61,0.014388866322115064,0.14200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_1,500,0.718,0.01483172851242125,0.03400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_2,500,0.624,0.01392535288259387,0.128,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_3,500,0.476,0.01306253271177411,0.276,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_4,500,0.304,0.01218104294128716,0.448,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_5,500,0.126,0.011598734389990569,0.626,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_1,500,0.662,0.014466333592310547,0.08999999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_2,500,0.6,0.014028558380901814,0.15200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_3,500,0.58,0.013667390644550324,0.17200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_4,500,0.502,0.013171716548502445,0.25,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_08,level_5,500,0.364,0.012532710418105126,0.388,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_1,500,0.434,0.012920671563595533,0.318,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_2,500,0.138,0.01201249735429883,0.614,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_3,500,0.048,0.011536009564995765,0.704,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_4,500,0.006,0.011105350062251091,0.746,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_09,level_5,500,0.01,0.011008213222026825,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_1,500,0.732,0.015579449400305747,0.020000000000000018,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_2,500,0.724,0.015488121056929231,0.028000000000000025,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_3,500,0.71,0.01537163207679987,0.04200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_11,level_4,500,0.688,0.015184742765501141,0.06400000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_1,499,0.7334669338677354,0.015510557779299472,0.018533066132264575,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_2,500,0.722,0.015467301223427057,0.030000000000000027,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_3,500,0.72,0.015315186033025384,0.03200000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_4,500,0.69,0.015007444024085999,0.062000000000000055,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_5,500,0.636,0.014267068246379494,0.11599999999999999,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_1,500,0.724,0.015454233003780246,0.028000000000000025,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_2,500,0.516,0.013801909325644374,0.236,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_3,500,0.378,0.013172777142375707,0.374,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_4,500,0.298,0.012754973078146577,0.454,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_5,500,0.24,0.012437923537567258,0.512,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_1,500,0.13,0.012426547540351749,0.622,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_2,500,0.02,0.012046468337997794,0.732,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_3,500,0.008,0.012129916604608297,0.744,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_4,500,0.01,0.011872285610064865,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_5,500,0.01,0.01180378468707204,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_1,500,0.718,0.015163333529606462,0.03400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_2,500,0.684,0.014663578294217586,0.06799999999999995,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_3,500,0.61,0.01431508550606668,0.14200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_4,500,0.556,0.014039588132873178,0.19599999999999995,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_5,500,0.508,0.013856250520795584,0.244,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_1,500,0.646,0.014224980803206564,0.10599999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_2,500,0.488,0.013179368501529098,0.264,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_3,500,0.32,0.012283404313027858,0.432,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_4,500,0.16,0.011593535857275128,0.592,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_5,500,0.05,0.011294395316392184,0.702,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_1,500,0.586,0.013882390756160021,0.16600000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_2,500,0.51,0.01339989847689867,0.242,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_3,500,0.464,0.013037553695961834,0.288,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_4,500,0.382,0.012640156209468841,0.37,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_5,500,0.27,0.01209163522347808,0.482,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_1,500,0.146,0.01195487918332219,0.606,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_2,500,0.046,0.01130779779329896,0.706,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_3,500,0.006,0.011080825367942453,0.746,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.010971644204109907,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_5,500,0.008,0.010951613282784819,0.744,full_cure_or_leave_clean_condition_out_prototype
