model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,1,native_challenge_type_18,0.008,0.40399999999999997,0.43401184254884717
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,2,native_challenge_type_14,0.01,0.40199999999999997,0.47190400791168213
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,3,native_challenge_type_16,0.012,0.39999999999999997,0.4332226766943932
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,4,native_challenge_type_05,0.014,0.39799999999999996,0.38856805564463137
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,5,native_challenge_type_09,0.014,0.39799999999999996,0.3431661440730095
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,6,native_challenge_type_07,0.048,0.364,0.5971568022072316
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,7,native_challenge_type_17,0.054,0.358,0.4560480214059353
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,8,native_challenge_type_13,0.066,0.346,0.4930267091169953
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,9,native_challenge_type_15,0.122,0.29,0.5575988046526908
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,10,native_challenge_type_08,0.124,0.288,0.46223203162848947
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,11,native_challenge_type_12,0.132,0.27999999999999997,0.531695443034172
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,12,native_challenge_type_04,0.146,0.266,0.44607244960218667
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,13,native_challenge_type_03,0.224,0.18799999999999997,0.5345226024687291
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,14,native_challenge_type_06,0.272,0.13999999999999996,0.5443254534602165
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,1,native_challenge_type_09,0.008,0.538,0.381703360080719
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,2,native_challenge_type_18,0.01,0.536,0.7392940828204155
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,3,native_challenge_type_14,0.016,0.53,0.29985691061615943
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,4,native_challenge_type_16,0.02,0.526,0.4494712501168251
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,5,native_challenge_type_05,0.028,0.518,0.26545551262050865
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,6,native_challenge_type_07,0.07,0.47600000000000003,0.5259913793951273
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,7,native_challenge_type_17,0.08,0.466,0.49697766710817814
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,8,native_challenge_type_13,0.112,0.43400000000000005,0.6163391537964344
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,9,native_challenge_type_08,0.19,0.35600000000000004,0.5083575337976217
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,10,native_challenge_type_04,0.194,0.35200000000000004,0.48212280052900314
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,11,native_challenge_type_15,0.234,0.31200000000000006,0.5359462122321129
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,12,native_challenge_type_12,0.306,0.24000000000000005,0.5396542078107596
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,13,native_challenge_type_06,0.362,0.18400000000000005,0.5794003892540932
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,14,native_challenge_type_03,0.402,0.14400000000000002,0.5748489312231541
CLIP ViT-B/16,clip_vit_b16,1,native_challenge_type_09,0.01,0.434,0.09720764323323965
CLIP ViT-B/16,clip_vit_b16,2,native_challenge_type_18,0.01,0.434,0.2612917869091034
CLIP ViT-B/16,clip_vit_b16,3,native_challenge_type_14,0.014,0.43,0.12194767855852842
CLIP ViT-B/16,clip_vit_b16,4,native_challenge_type_05,0.02,0.424,0.13825806017220021
CLIP ViT-B/16,clip_vit_b16,5,native_challenge_type_16,0.024,0.42,0.24093687224388122
CLIP ViT-B/16,clip_vit_b16,6,native_challenge_type_17,0.072,0.372,0.2727589488178492
CLIP ViT-B/16,clip_vit_b16,7,native_challenge_type_13,0.074,0.37,0.31043176516890525
CLIP ViT-B/16,clip_vit_b16,8,native_challenge_type_07,0.08,0.364,0.32172975090146066
CLIP ViT-B/16,clip_vit_b16,9,native_challenge_type_12,0.132,0.312,0.2638157967552543
CLIP ViT-B/16,clip_vit_b16,10,native_challenge_type_15,0.152,0.29200000000000004,0.3402039598226547
CLIP ViT-B/16,clip_vit_b16,11,native_challenge_type_04,0.158,0.28600000000000003,0.3111028780713677
CLIP ViT-B/16,clip_vit_b16,12,native_challenge_type_08,0.188,0.256,0.2940233000069857
CLIP ViT-B/16,clip_vit_b16,13,native_challenge_type_03,0.19,0.254,0.2880705142840743
CLIP ViT-B/16,clip_vit_b16,14,native_challenge_type_06,0.268,0.176,0.3922141193151474
CLIP ViT-B/32,clip_vit_b32,1,native_challenge_type_09,0.006,0.344,0.1266228765398264
CLIP ViT-B/32,clip_vit_b32,2,native_challenge_type_14,0.01,0.33999999999999997,0.19634294831752777
CLIP ViT-B/32,clip_vit_b32,3,native_challenge_type_18,0.01,0.33999999999999997,0.418802252009511
CLIP ViT-B/32,clip_vit_b32,4,native_challenge_type_05,0.014,0.33599999999999997,0.2052462061420083
CLIP ViT-B/32,clip_vit_b32,5,native_challenge_type_16,0.016,0.33399999999999996,0.23510963858664036
CLIP ViT-B/32,clip_vit_b32,6,native_challenge_type_17,0.048,0.302,0.20328372918069362
CLIP ViT-B/32,clip_vit_b32,7,native_challenge_type_07,0.05,0.3,0.29243626157939434
CLIP ViT-B/32,clip_vit_b32,8,native_challenge_type_13,0.068,0.282,0.33274543936550616
CLIP ViT-B/32,clip_vit_b32,9,native_challenge_type_12,0.09,0.26,0.2951436529457569
CLIP ViT-B/32,clip_vit_b32,10,native_challenge_type_04,0.114,0.236,0.3103926691263914
CLIP ViT-B/32,clip_vit_b32,11,native_challenge_type_15,0.122,0.22799999999999998,0.3449710269495845
CLIP ViT-B/32,clip_vit_b32,12,native_challenge_type_08,0.126,0.22399999999999998,0.2321600257754326
CLIP ViT-B/32,clip_vit_b32,13,native_challenge_type_03,0.174,0.176,0.2620486635565758
CLIP ViT-B/32,clip_vit_b32,14,native_challenge_type_06,0.19,0.15999999999999998,0.3467228182256222
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,1,native_challenge_type_05,0.01,0.614,0.013485313763841987
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,2,native_challenge_type_09,0.01,0.614,0.013421479808166624
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,3,native_challenge_type_14,0.01,0.614,0.013543634157627821
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,4,native_challenge_type_18,0.01,0.614,0.013042702246457339
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,5,native_challenge_type_16,0.012,0.612,0.011770219197496773
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,6,native_challenge_type_07,0.054,0.57,0.011435845138505102
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,7,native_challenge_type_13,0.092,0.532,0.012492598541080951
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,8,native_challenge_type_17,0.12,0.504,0.011890240643173457
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,9,native_challenge_type_12,0.144,0.48,0.013076341273263096
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,10,native_challenge_type_04,0.152,0.472,0.012360324082896114
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,11,native_challenge_type_03,0.186,0.438,0.013104728665202856
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,12,native_challenge_type_08,0.248,0.376,0.011837964531034232
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,13,native_challenge_type_15,0.264,0.36,0.012480624930933118
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,14,native_challenge_type_06,0.394,0.22999999999999998,0.012753992334008217
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,1,native_challenge_type_05,0.01,0.546,0.013240355281159282
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,2,native_challenge_type_09,0.01,0.546,0.01269876492023468
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,3,native_challenge_type_14,0.01,0.546,0.013103917505592108
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,4,native_challenge_type_18,0.01,0.546,0.012127131516113877
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,5,native_challenge_type_16,0.014,0.542,0.011498700883239508
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,6,native_challenge_type_17,0.066,0.49000000000000005,0.011474596982821822
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,7,native_challenge_type_13,0.068,0.48800000000000004,0.01191053607314825
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,8,native_challenge_type_07,0.09,0.4660000000000001,0.011125154325738549
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,9,native_challenge_type_12,0.126,0.43000000000000005,0.012149545913562178
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,10,native_challenge_type_04,0.132,0.42400000000000004,0.011664067735895515
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,11,native_challenge_type_15,0.158,0.398,0.011904936000704766
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,12,native_challenge_type_03,0.166,0.39,0.012225281186401845
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,13,native_challenge_type_08,0.19,0.36600000000000005,0.011432689167559146
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,14,native_challenge_type_06,0.294,0.26200000000000007,0.011889520762488247
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,1,native_challenge_type_18,0.008,0.608,0.010693569242954254
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,2,native_challenge_type_14,0.012,0.604,0.011246481383219362
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,3,native_challenge_type_05,0.014,0.602,0.011401761412620545
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,4,native_challenge_type_09,0.014,0.602,0.01099099644459784
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,5,native_challenge_type_16,0.056,0.5599999999999999,0.011104733508080245
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,6,native_challenge_type_13,0.182,0.434,0.012027276538312434
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,7,native_challenge_type_07,0.192,0.424,0.01132381790690124
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,8,native_challenge_type_17,0.194,0.422,0.011485210763290524
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,9,native_challenge_type_04,0.316,0.3,0.012447811575606465
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,10,native_challenge_type_15,0.344,0.272,0.012706978537142278
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,11,native_challenge_type_08,0.4,0.21599999999999997,0.011900360561907292
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,12,native_challenge_type_12,0.418,0.198,0.012848767083138228
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,13,native_challenge_type_06,0.462,0.15399999999999997,0.013050151428207755
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,14,native_challenge_type_03,0.522,0.09399999999999997,0.013249391812831163
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,1,native_challenge_type_18,0.008,0.744,0.010951613282784819
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,2,native_challenge_type_05,0.01,0.742,0.012021644692867994
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,3,native_challenge_type_09,0.01,0.742,0.011008213222026825
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,4,native_challenge_type_14,0.01,0.742,0.01180378468707204
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,5,native_challenge_type_16,0.05,0.702,0.011294395316392184
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,6,native_challenge_type_07,0.126,0.626,0.011598734389990569
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,7,native_challenge_type_13,0.24,0.512,0.012437923537567258
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,8,native_challenge_type_17,0.27,0.482,0.01209163522347808
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,9,native_challenge_type_04,0.354,0.398,0.012926912233233452
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,10,native_challenge_type_08,0.364,0.388,0.012532710418105126
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,11,native_challenge_type_15,0.508,0.244,0.013856250520795584
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,12,native_challenge_type_06,0.61,0.14200000000000002,0.014388866322115064
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,13,native_challenge_type_12,0.636,0.11599999999999999,0.014267068246379494
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,14,native_challenge_type_03,0.676,0.07599999999999996,0.014496878093108534
